location,target_end_date,horizon,wis,overprediction,underprediction,dispersion,model_id,target,reference_date
beaumont,2026-02-07,2,0.32623844540781427,0,0.13645030339558892,0.18978814201222538,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
el-paso,2026-02-07,2,0.4347568320731322,0.28430061075422497,0,0.15045622131890724,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
austin,2026-02-07,2,1.3354287939684253,0,1.1753896930482646,0.16003910092016063,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
dallas,2026-02-07,2,0.24145710761348413,0,0.07797810554504399,0.16347900206844013,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
texas,2026-02-07,2,0.8878686821791856,0,0.736628274917602,0.1512404072615836,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
provo,2026-02-07,2,0.22436682966020394,0.017481160693698476,0,0.20688566896650543,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
salt-lake-city,2026-02-07,2,0.21863949676354727,0.025109868049621564,0,0.1935296287139257,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
ogden,2026-02-07,2,0.2986807949178749,0,0.11334427356719967,0.1853365213506752,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
utah,2026-02-07,2,0.26458633177810253,0,0.08688575426737473,0.1777005775107278,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
roanoke,2026-02-07,2,0.6527470986048381,0.4222390333811442,0,0.23050806522369394,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
virginia,2026-02-07,2,0.4650586747957602,0.23970919662051735,0,0.22534947817524278,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
nyc,2026-02-07,2,0.9365018228689829,0.6414268785052827,0,0.2950749443637,ACCIDDA-InfluPaint,ILI ED visits pct,2026-01-31
nenc,2026-02-07,2,0.21710453488760534,0.015633948644002298,0,0.20147058624360303,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
senc,2026-02-07,2,0.4383359641871517,0,0.3075808604558307,0.13075510373132102,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
fay-area,2026-02-07,2,1.6576698962433463,0,1.5079640160666563,0.14970588017668993,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rtp-area,2026-02-07,2,0.5031579030056792,0,0.3824135621388751,0.12074434086680418,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
triad-area,2026-02-07,2,0.2527185729559924,0,0.1285177869266933,0.12420078602929913,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
wnc,2026-02-07,2,0.19470389450589823,0.01310468090905085,0,0.1815992135968474,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
clt-area,2026-02-07,2,0.5743393275058932,0,0.442759719159868,0.13157960834602517,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
north-carolina,2026-02-07,2,0.3719299066894586,0.08248280366261801,0,0.2894471030268406,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
portland-or,2026-02-07,2,1.4511313968234587,0,1.2097110191980986,0.24142037762535962,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
salem,2026-02-07,2,4.064366139686769,0,3.834342757330999,0.2300233823557695,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
deschutes,2026-02-07,2,2.6586254911455836,0,2.472709540790981,0.18591595035460268,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
eugene,2026-02-07,2,4.4625224658432945,0,4.360819560686747,0.10170290515654622,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
medford,2026-02-07,2,6.389003625545237,0,6.293358858956231,0.0956447665890058,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
oregon,2026-02-07,2,5.235281450533204,0,5.141829110251533,0.09345234028167197,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
