location,target_end_date,horizon,wis,model_id,target
larimer,2026-02-14,2,0.11012435621449213,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-14,2,0.20062844085675738,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-14,2,0.1390310998035709,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-14,2,0.07018589749790502,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-14,2,0.11866853581029149,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-14,2,0.06902646668761842,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-14,2,0.07191287390259052,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-14,2,0.19342891605536558,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-14,2,0.09050790770173027,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-14,2,0.132380837663788,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-14,2,0.27595436826738834,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-14,2,0.1636598904253064,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-14,2,0.05793386508716347,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-14,2,0.17628061191316172,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-14,2,0.06261087787674009,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-14,2,0.35167723094023057,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-14,2,0.10997822040843591,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-14,2,0.25473528574800003,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-14,2,0.28228523751623064,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-14,2,0.07632295236219715,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-14,2,0.10579327147688149,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-14,2,0.12303849627661106,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-14,2,0.09613075918579737,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-14,2,0.05944605366484249,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-14,2,0.07123379498526768,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-14,2,0.6566008727441001,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-14,2,0.5330795737146778,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-14,2,0.5225715961162628,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-14,2,0.07683442462653278,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-14,2,0.06243814881178648,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-14,2,0.06398466928259446,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-14,2,0.09211611269779839,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-14,2,0.062442800104025746,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-14,2,0.08992189036074556,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-14,2,0.3701904028676992,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-14,2,0.13291131900575376,ACCIDDA-InfluPaint,Flu ED visits pct
